Nutrient,AgeGroup,Intercept,Slope,Quadratic
Calcium,Adult,32.963159527729935,-0.15330864554248283,0.00022725234292330528
Copper,Adult,8.95286282307817,,
Folic Acid,Adult,13.159462268962054,,
Iodine,Adult,26.233287516826863,,
Iron,Adult,18.63747107904071,-2.873846328388696,0.10501036193491266
Magnesium,Adult,3.354827882219449,,
Manganese,Adult,6.254748158728323,,
Niacin,Adult,1.5183621696889613,,
Phosphorus,Adult,8.133424636924499,,
Potassium,Adult,8.715175766707453,,
Riboflavin,Adult,11.121140586720205,,
Selenium,Adult,24.58400513264555,,
Thiamin,Adult,-6.240856073357876,0.09756302381444971,
Vitamin B-12,Adult,8.953894669078295,,
Vitamin B-6,Adult,4.732930579097646,-0.28649124251054403,0.0025949137797046957
Vitamin C,Adult,8.311378992258634,,
Vitamin E,Adult,5.423194755246248,,
Zinc,Adult,8.15387394002093,-0.25104373414077197,
Calcium,4+,33.17751082557075,-0.14082521082072405,
Copper,4+,6.385210614023673,,
Folic Acid,4+,17.480124383029416,,
Iodine,4+,86.63869248201304,-1.8063144734663865,0.009299788206456338
Iron,4+,14.100304721367857,-0.6712174362077642,
Magnesium,4+,4.509440117377283,,
Niacin,4+,6.489867764680892,,
Phosphorus,4+,17.70580042643244,-0.14711689588055352,
Riboflavin,4+,6.144517292912603,,
Thiamin,4+,8.571677687377843,,
Vitamin A,4+,37.49012731606146,-0.007096782402065341,
Vitamin B-12,4+,15.423568960355581,,
Vitamin B-6,4+,22.633626597537198,-12.610998438487021,2.2678830170085127
Vitamin D,4+,36.04793026203214,,
Vitamin E,4+,50.31248681907757,-1.3276763323614305,
Zinc,4+,30.465635343919544,-5.88138476133335,0.28236372575319485
Calcium,1-4,36.37288365784458,-0.32229006415253836,
Copper,1-4,5.112248361037354,,
Folic Acid,1-4,19.419242227481,,
Iodine,1-4,48.34313416752636,-0.4000104168339336,
Iron,1-4,3.355389076159693,,
Magnesium,1-4,3.893731673888531,,
Niacin,1-4,6.03453541960396,,
Phosphorus,1-4,19.488240662548538,-0.33330582988014235,
Riboflavin,1-4,4.26288546019779,,
Thiamin,1-4,11.1674559331885,,
Vitamin A,1-4,13.9066556656791,,
Vitamin B-12,1-4,15.79625672924801,,
Vitamin B-6,1-4,19.0027415563393,-10.225765606127,
Vitamin D,1-4,38.691179037733,,
Vitamin E,1-4,20.311362404148113,,
Zinc,1-4,15.129730841598862,-5.937107579718258,0.5958281692142854
Calcium,Adult,8.105445292789147,,
Chromium,Adult,30.21109561031679,-0.08213945701141198,
Copper,Adult,16.9639830056769,-5.24125874191053,
Iodine,Adult,20.13435310847794,,
Iron,Adult,0.8362902824962372,,
Magnesium,Adult,-0.21086409003572604,,
Manganese,Adult,15.465377801522722,-5.277430074624011,0.62968143867259
Phosphorus,Adult,18.667298771422928,-0.17356037763969906,
Potassium,Adult,-8.7,0.14,
Selenium,Adult,27.77990714818975,-0.07131836831207637,
Zinc,Adult,13.29609807613941,-0.9114276815276593,0.021909873434515045
Folic Acid,Adult,9.644051177565073,0.08492768195653179,-0.00012530262666616144
Niacin,Adult,4.478650070843454,,
Riboflavin,Adult,18.88902375472022,-0.8639972199666407,0.01051331643172487
Thiamin,Adult,-3.48395757339176,,
"Vitamin A, IU",Adult,60.748639978433474,-0.011734429163869988,4.94813946751079e-07
Vitamin B-12,Adult,21.803628829573505,,
Vitamin B-6,Adult,9.101986002335455,,
Vitamin C,Adult,5.086256816338949,,
Vitamin D,Adult,45.77561980550411,-0.013044306765884351,
Vitamin E,Adult,9.408426155257441,,
